screenW,Browser,screenH,workerid,OS
1536,Chrome,864,0,Windows
1280,Chrome,720,1,Windows
414,Safari,736,2,iPhone/iPod
1280,Firefox,720,3,Windows
939,Firefox,704,4,Windows
1366,Chrome,768,5,Windows
1680,Chrome,1050,6,Windows
1366,Chrome,768,7,Windows
1920,Firefox,1080,8,Windows
1920,Chrome,1080,9,Windows
360,Chrome,780,10,Linux
1024,Chrome,768,11,Windows
1920,Chrome,1080,12,Windows
1366,Chrome,768,13,Windows
1366,Chrome,768,14,Linux
1366,Chrome,768,15,Windows
1366,Chrome,768,16,Windows
1366,Chrome,768,17,Linux
1366,Chrome,768,18,Windows
1280,Chrome,800,19,Windows
1400,Chrome,1050,20,Windows
1368,Chrome,912,21,Windows
1600,Firefox,900,22,Windows
1920,Chrome,1080,23,Windows
1920,Chrome,1080,24,Linux
1366,Chrome,768,25,Windows
1920,Chrome,1080,26,Windows
1280,Chrome,1024,27,Windows
1366,Chrome,768,28,Windows
1366,Chrome,768,29,Windows
3840,Chrome,2160,30,Windows
1366,Chrome,768,31,Windows
1920,Chrome,1080,32,Windows
1280,Chrome,800,33,Mac
1366,Chrome,768,34,Windows
1600,Chrome,900,35,Windows
640,Chrome,360,36,Linux
1600,Chrome,900,37,Windows
1600,Chrome,900,38,Windows
1920,Chrome,1080,39,Windows
1920,Chrome,1080,40,Windows
1920,Chrome,1080,41,Windows
375,Safari,667,42,iPhone/iPod
1366,Chrome,768,43,Windows
412,Chrome,732,44,Linux
1366,Chrome,768,45,Windows
1600,Chrome,900,46,Windows
1366,Chrome,768,47,Windows
1440,Chrome,900,48,Mac
1280,Chrome,1024,49,Windows
1920,Chrome,1080,50,Windows
1366,Chrome,768,51,Windows
1920,Chrome,1080,52,Windows
1536,Chrome,864,53,Windows
1366,Chrome,768,54,Windows
2560,Chrome,1080,55,Windows
1360,Chrome,768,56,Windows
1920,Firefox,1080,57,Windows
1280,Chrome,768,58,Windows
1920,Chrome,1080,59,Linux
1600,Firefox,900,60,Linux
2560,Chrome,1440,61,Windows
1366,Chrome,768,62,Windows
1920,Chrome,1200,63,Windows
1366,Chrome,768,64,Windows
1366,Chrome,768,65,Windows
1280,Firefox,720,66,Windows
1536,Chrome,864,67,Linux
1366,Chrome,768,68,Windows
1920,Chrome,1080,69,Windows
1360,Chrome,768,70,Windows
1366,Chrome,768,71,Windows
2560,Chrome,1440,72,Windows
1536,Chrome,864,73,Windows
1920,Chrome,1080,74,Windows
1536,Chrome,864,75,Windows
1920,Chrome,1080,76,Windows
1920,Chrome,1080,77,Windows
1536,Firefox,864,78,Windows
1536,Chrome,864,79,Windows
1600,Chrome,900,80,Windows
1366,Chrome,768,81,Windows
1366,Chrome,768,82,Linux
360,Chrome,640,83,Linux
1440,Chrome,900,84,Windows
1920,Chrome,1080,85,Windows
1024,Chrome,768,86,Linux
1920,Chrome,1080,87,Windows
1440,Chrome,900,88,Mac
1366,Chrome,768,89,Windows
1366,Chrome,768,90,Windows
2560,Chrome,1440,91,Windows
1366,Chrome,768,92,Windows
1366,Chrome,768,93,Windows
1600,Chrome,900,94,Windows
1024,Chrome,768,95,Windows
1920,Chrome,1080,96,Windows
1366,Firefox,768,97,Windows
1920,Chrome,1080,98,Windows
1920,Chrome,1080,99,Windows
1920,Chrome,1080,100,Windows
1366,Chrome,768,101,Windows
1366,Chrome,768,102,Windows
1920,Chrome,1080,103,Windows
768,Chrome,1024,104,Linux
1536,Chrome,864,105,Windows
393,Chrome,786,106,Linux
1920,Chrome,1080,107,Windows
1366,Chrome,768,108,Windows
1920,Chrome,1080,109,Windows
1536,Chrome,864,110,Windows
1024,Safari,1366,111,Mac
1366,Chrome,768,112,Windows
1366,Chrome,768,113,Windows
1280,Chrome,800,114,Mac
1536,Chrome,864,115,Windows
1280,Chrome,720,116,Windows
1920,Chrome,1080,117,Windows
1280,Chrome,720,118,Windows
1600,Chrome,900,119,Windows
1366,Chrome,768,120,Windows
1366,Chrome,768,121,Windows
1920,Chrome,1080,122,Mac
1280,Chrome,1024,123,Windows
1536,Chrome,864,124,Windows
1920,Chrome,996,125,Windows
1280,Chrome,720,126,Windows
1920,Chrome,1080,127,Windows
1366,Chrome,768,128,Windows
1920,Chrome,1080,129,Mac
1152,Chrome,864,130,Windows
1920,Chrome,1080,131,Windows
1366,Chrome,768,132,Windows
1366,Chrome,768,133,Windows
1440,Chrome,900,134,Mac
1280,Chrome,720,135,Windows
1366,Chrome,768,136,Windows
1152,Chrome,720,137,Windows
1207,Firefox,678,138,Windows
1360,Chrome,768,139,Windows
1366,Chrome,768,140,Windows
1440,Chrome,900,141,Windows
360,Chrome,720,142,Linux
1366,Chrome,768,143,Windows
1600,Chrome,900,144,Windows
414,Safari,896,145,iPhone/iPod
360,Chrome,740,146,Linux
1366,Chrome,768,147,Windows
1366,Chrome,768,148,Windows
1366,Chrome,768,149,Windows
1680,Chrome,1050,150,Windows
985,Chrome,616,151,Windows
1600,Chrome,900,152,Windows
1680,Chrome,1050,153,Mac
1366,Chrome,768,154,Windows
1920,Chrome,1080,155,Windows
1536,Chrome,864,156,Windows
1600,Firefox,900,157,Windows
1920,Chrome,1080,158,Windows
1364,Chrome,768,159,Windows
1280,Chrome,800,160,Mac
