trigger_class,Answer.time_in_minutes,slide_number_in_experiment,rt,prior_fact,content,question_type,short_trigger,block,response,workerid,prior,trigger
C,9.249233333333333,5,9729,Grace hates her sister,grace,prior,admit,block0,0,0,low_prior,admit
C,9.249233333333333,6,5952,Julian is German,julian,prior,see,block0,0.57,0,low_prior,see
C,9.249233333333333,7,7646,Tony really likes to party with his friends,tony,prior,suggest,block0,0.96,0,high_prior,suggest
C,9.249233333333333,8,6054,Emma is in first grade,emma,prior,announce,block0,0.9,0,low_prior,announce
C,9.249233333333333,9,6542,Mia is a nun,mia,prior,acknowledge,block0,0.01,0,low_prior,acknowledge
C,9.249233333333333,10,6613,Danny loves cake,danny,prior,say,block0,0.96,0,high_prior,say
C,9.249233333333333,11,7619,Charley lives in Mexico,charley,prior,reveal,block0,0.51,0,high_prior,reveal
MC,9.249233333333333,12,7810,Ballet is a type of dance,ballet,prior,MC,block0,0.51,0,,MC
C,9.249233333333333,13,5932,Jackson is training for a marathon,jackson,prior,inform,block0,0.92,0,high_prior,inform
C,9.249233333333333,14,5689,Frank is allergic to cats,frank,prior,confess,block0,0.02,0,low_prior,confess
MC,9.249233333333333,15,6892,Muffins are sold at the bakery,muffins,prior,MC,block0,0.65,0,,MC
C,9.249233333333333,16,7898,Olivia has two small children,olivia,prior,demonstrate,block0,0.9,0,low_prior,demonstrate
C,9.249233333333333,17,6336,Jon lives 10 miles away from work,jon,prior,hear,block0,0.18,0,low_prior,hear
C,9.249233333333333,18,8150,Sophia is a high end fashion model,sophia,prior,pretend,block0,0.75,0,low_prior,pretend
C,9.249233333333333,19,9114,Jayden's car is in the shop,jayden,prior,prove,block0,0.83,0,high_prior,prove
MC,9.249233333333333,20,9659,Garages are used to store cars and other things,garage,prior,MC,block0,0.22,0,,MC
MC,9.249233333333333,21,5918,Pizza is sold at the pizzeria,pizza,prior,MC,block0,0.21,0,,MC
C,9.249233333333333,22,5255,Emily has been saving for a year,emily,prior,discover,block0,0.75,0,high_prior,discover
C,9.249233333333333,23,5999,Isabella is from Argentina,isabella,prior,be_right,block0,0.4,0,high_prior,be_right
C,9.249233333333333,24,6353,Josh is a 75-year old man,josh,prior,confirm,block0,0.09,0,low_prior,confirm
MC,9.249233333333333,25,7120,Many children like ice cream,kids,prior,MC,block0,0.22,0,,MC
C,9.249233333333333,26,7827,Josie loves France,josie,prior,be_annoyed,block0,0.94,0,high_prior,be_annoyed
C,9.249233333333333,27,5641,Owen lives in Chicago,owen,prior,establish,block0,0.94,0,high_prior,establish
C,9.249233333333333,28,6268,Zoe is 5 years old,zoe,prior,know,block0,0.54,0,low_prior,know
C,9.249233333333333,29,6931,Mary is taking a prenatal yoga class,mary,prior,think,block0,0.8,0,high_prior,think
MC,9.249233333333333,30,6276,Hats are worn on the head,hat,prior,MC,block0,0.82,0,,MC
C,9.249233333333333,32,10651,Jayden's car is in the shop,jayden,projective,prove,block1,0.75,0,high_prior,prove
C,9.249233333333333,33,9727,Emma is in first grade,emma,projective,announce,block1,0.91,0,low_prior,announce
C,9.249233333333333,34,11610,Sophia is a high end fashion model,sophia,projective,pretend,block1,0.35,0,low_prior,pretend
C,9.249233333333333,35,9055,Jon lives 10 miles away from work,jon,projective,hear,block1,0.21,0,low_prior,hear
MC,9.249233333333333,36,5647,Hats are worn on the head,hat,projective,MC,block1,0.76,0,,MC
C,9.249233333333333,37,3235,Jackson is training for a marathon,jackson,projective,inform,block1,0.54,0,high_prior,inform
C,9.249233333333333,38,7029,Frank is allergic to cats,frank,projective,confess,block1,0.29,0,low_prior,confess
