block,predicate,hypothesis,estimate,post.prob,bf
_projai.,acknowledge,cMean_prior > 0,0.5940620033429516,0.95975,23.84472049689441
_projai.,admit,cMean_prior > 0,-0.11923762316113115,0.3730833333333333,0.5951083344410475
_projai.,announce,cMean_prior > 0,-0.2087651105651456,0.2670833333333334,0.36441159749857877
_projai.,be.annoyed,cMean_prior > 0,-0.579129815206929,0.0585,0.06213489113117366
_projai.,be.right,cMean_prior > 0,0.29960520722127076,0.8029166666666666,4.07399577167019
_projai.,confess,cMean_prior > 0,0.12491950993180673,0.6365833333333333,1.751662462737904
_projai.,confirm,cMean_prior > 0,-0.08573743573233414,0.40158333333333335,0.6710764517476675
_projai.,demonstrate,cMean_prior > 0,0.095306584823528,0.6195833333333333,1.6286966046002191
_projai.,discover,cMean_prior > 0,0.32628961759633696,0.7986666666666666,3.966887417218543
_projai.,establish,cMean_prior > 0,-0.19588660345322076,0.27925,0.387443635102324
_projai.,hear,cMean_prior > 0,0.02750644342070225,0.5280833333333333,1.119018188239449
_projai.,inform,cMean_prior > 0,-0.40578311168951525,0.11816666666666667,0.134001134001134
_projai.,know,cMean_prior > 0,0.21599610588287535,0.7264166666666667,2.655193420651843
_projai.,pretend,cMean_prior > 0,-0.11337359083339191,0.387,0.6313213703099511
_projai.,prove,cMean_prior > 0,-0.02177735493555096,0.4766666666666667,0.910828025477707
_projai.,reveal,cMean_prior > 0,-0.321261495192174,0.15925,0.18941421349985132
_projai.,say,cMean_prior > 0,0.023837004321508665,0.5253333333333332,1.1067415730337078
_projai.,see,cMean_prior > 0,0.45067695380602,0.8985833333333333,8.860312243221035
_projai.,suggest,cMean_prior > 0,-0.46074377601091077,0.07691666666666666,0.08332581023742891
_projai.,think,cMean_prior > 0,-0.290374785849707,0.21058333333333334,0.26675815475562126
_aiproj.,acknowledge,cMean_prior > 0,0.2407549371021038,0.7470833333333333,2.9538714991762767
_aiproj.,admit,cMean_prior > 0,0.5409854877316023,0.93375,14.09433962264151
_aiproj.,announce,cMean_prior > 0,0.3647330425579582,0.8529166666666667,5.798866855524079
_aiproj.,be.annoyed,cMean_prior > 0,0.8111968692551382,0.9721666666666666,34.92814371257485
_aiproj.,be.right,cMean_prior > 0,-0.02930415188368094,0.47325,0.8984337921214998
_aiproj.,confess,cMean_prior > 0,0.15082976767270043,0.6708333333333334,2.037974683544304
_aiproj.,confirm,cMean_prior > 0,0.05302438423076184,0.55525,1.2484541877459248
_aiproj.,demonstrate,cMean_prior > 0,-0.004570698340895703,0.4955,0.9821605550049554
_aiproj.,discover,cMean_prior > 0,-0.07886585458765658,0.4156666666666667,0.7113519680547633
_aiproj.,establish,cMean_prior > 0,-0.048045672034288625,0.44875,0.8140589569160998
_aiproj.,hear,cMean_prior > 0,0.4760879182513497,0.8755000000000001,7.032128514056225
_aiproj.,inform,cMean_prior > 0,0.3182002289925005,0.7942499999999999,3.8602673147023085
_aiproj.,know,cMean_prior > 0,-0.23490337040044776,0.26858333333333334,0.367209752762903
_aiproj.,pretend,cMean_prior > 0,-0.0690112896921482,0.42474999999999996,0.738374619730552
_aiproj.,prove,cMean_prior > 0,-0.12379510974543752,0.37516666666666665,0.6004267804747933
_aiproj.,reveal,cMean_prior > 0,-0.0517290048730952,0.4486666666666667,0.8137847642079806
_aiproj.,say,cMean_prior > 0,-0.3620802009451693,0.16208333333333333,0.19343610144206863
_aiproj.,see,cMean_prior > 0,0.7368104133944077,0.97525,39.4040404040404
_aiproj.,suggest,cMean_prior > 0,-0.02357629371638123,0.47958333333333336,0.921537229783827
_aiproj.,think,cMean_prior > 0,0.2094681199489421,0.7175833333333334,2.5408675125405726
