short_trigger,projective,aiMean,priorMean,content,workerid,betaProjective,caiMean,cpriorMean
inform,1,0.7820689655172414,0.2666816143497758,charley,39,0.999009900990099,0.01810611696018971,-0.1776874560415338
inform,0.99,0.7831818181818182,0.8427619047619047,charley,51,0.989029702970297,0.019218969624766546,0.39839283437059514
inform,0.51,0.7820689655172414,0.2666816143497758,charley,62,0.509980198019802,0.01810611696018971,-0.1776874560415338
inform,0.06,0.7831818181818182,0.8427619047619047,charley,119,0.06087128712871287,0.019218969624766546,0.39839283437059514
inform,1,0.7820689655172414,0.2666816143497758,charley,131,0.999009900990099,0.01810611696018971,-0.1776874560415338
inform,0.89,0.7831818181818182,0.8427619047619047,charley,138,0.8892277227722772,0.019218969624766546,0.39839283437059514
inform,0,0.7820689655172414,0.2666816143497758,charley,183,9.9009900990099e-4,0.01810611696018971,-0.1776874560415338
inform,0.96,0.7831818181818182,0.8427619047619047,charley,205,0.959089108910891,0.019218969624766546,0.39839283437059514
inform,0.95,0.7820689655172414,0.2666816143497758,charley,220,0.9491089108910892,0.01810611696018971,-0.1776874560415338
inform,0.67,0.7831818181818182,0.8427619047619047,charley,229,0.6696633663366337,0.019218969624766546,0.39839283437059514
inform,0.8,0.7831818181818182,0.8427619047619047,charley,298,0.7994059405940594,0.019218969624766546,0.39839283437059514
inform,0.99,0.7820689655172414,0.2666816143497758,charley,307,0.989029702970297,0.01810611696018971,-0.1776874560415338
inform,0.68,0.7831818181818182,0.8427619047619047,charley,308,0.6796435643564357,0.019218969624766546,0.39839283437059514
inform,1,0.7820689655172414,0.2666816143497758,charley,344,0.999009900990099,0.01810611696018971,-0.1776874560415338
inform,0.71,0.7820689655172414,0.2666816143497758,charley,364,0.7095841584158415,0.01810611696018971,-0.1776874560415338
inform,0.52,0.7820689655172414,0.2666816143497758,charley,386,0.519960396039604,0.01810611696018971,-0.1776874560415338
inform,0.97,0.7820689655172414,0.2666816143497758,charley,393,0.969069306930693,0.01810611696018971,-0.1776874560415338
inform,0.67,0.7820689655172414,0.2666816143497758,charley,422,0.6696633663366337,0.01810611696018971,-0.1776874560415338
inform,0.9,0.7831818181818182,0.8427619047619047,charley,426,0.8992079207920792,0.019218969624766546,0.39839283437059514
inform,0.4,0.7820689655172414,0.2666816143497758,charley,480,0.4001980198019802,0.01810611696018971,-0.1776874560415338
inform,0.98,0.7831818181818182,0.8427619047619047,charley,525,0.979049504950495,0.019218969624766546,0.39839283437059514
inform,0.35,0.7820689655172414,0.2666816143497758,charley,549,0.3502970297029703,0.01810611696018971,-0.1776874560415338
inform,1,0.7820689655172414,0.2666816143497758,charley,550,0.999009900990099,0.01810611696018971,-0.1776874560415338
inform,0.98,0.7820689655172414,0.2666816143497758,charley,551,0.979049504950495,0.01810611696018971,-0.1776874560415338
inform,0.88,0.7831818181818182,0.8427619047619047,charley,553,0.8792475247524753,0.019218969624766546,0.39839283437059514
inform,0.85,0.7831818181818182,0.8427619047619047,charley,582,0.8493069306930693,0.019218969624766546,0.39839283437059514
inform,0.63,0.7368,0.24754545454545457,danny,6,0.6297425742574257,-0.027162848557051644,-0.196823615845855
inform,1,0.7368,0.24754545454545457,danny,8,0.999009900990099,-0.027162848557051644,-0.196823615845855
inform,0.98,0.8704166666666666,0.6855633802816902,danny,36,0.979049504950495,0.10645381810961496,0.2411943098903806
inform,0.86,0.7368,0.24754545454545457,danny,52,0.8592871287128713,-0.027162848557051644,-0.196823615845855
inform,0.8,0.7368,0.24754545454545457,danny,63,0.7994059405940594,-0.027162848557051644,-0.196823615845855
