screenW,OS,Browser,workerid,screenH
1600,Windows,Chrome,0,900
1364,Windows,Chrome,1,768
1366,Windows,Chrome,2,768
1366,Windows,Chrome,3,768
1366,Windows,Chrome,4,768
1504,Windows,Chrome,5,1003
1536,Windows,Chrome,6,864
1750,Windows,Chrome,7,900
1366,Windows,Chrome,8,768
1366,Windows,Chrome,9,768
1536,Linux,Chrome,10,864
1280,Windows,Chrome,11,1024
1366,Windows,Chrome,12,768
1920,Windows,Chrome,13,1080
1366,Windows,Chrome,14,768
1152,Windows,Chrome,15,864
1920,Windows,Chrome,16,1080
1366,Windows,Chrome,17,768
1920,Windows,Chrome,18,1080
1920,Windows,Chrome,19,1080
1280,Windows,Chrome,20,1024
1366,Windows,Chrome,21,768
1536,Windows,Chrome,22,864
1366,Windows,Chrome,23,768
1364,Windows,Chrome,24,768
2560,Windows,Chrome,25,1440
1920,Windows,Chrome,26,1080
1920,Windows,Chrome,27,1080
1366,Windows,Chrome,28,768
1440,Mac,Chrome,29,900
1920,Windows,Chrome,30,1080
1920,Windows,Chrome,31,1080
1366,Windows,Chrome,32,768
1920,Windows,Chrome,33,1080
1536,Windows,Chrome,34,864
1158,Windows,Chrome,35,651
1680,Mac,Chrome,36,1050
1920,Windows,Chrome,37,1080
1280,Windows,Chrome,38,720
1748,Windows,Chrome,39,900
1440,Windows,Chrome,40,960
1366,Windows,Chrome,41,768
1600,Windows,Firefox,42,900
1366,Windows,Chrome,43,768
2560,Windows,Chrome,44,1440
1364,Windows,Chrome,45,768
1366,Windows,Chrome,46,768
2048,Windows,Chrome,47,1152
1920,Mac,Chrome,48,1200
1920,Windows,Chrome,49,1080
1366,Windows,Chrome,50,768
1366,Windows,Chrome,51,768
1536,Windows,Firefox,52,864
1920,Windows,Chrome,53,1080
1280,Windows,Chrome,54,800
1366,Windows,Chrome,55,768
1920,Windows,Firefox,56,1080
1366,Windows,Chrome,57,768
1280,Windows,Chrome,58,720
1920,Windows,Chrome,59,1080
1366,Windows,Chrome,60,768
1440,Windows,Chrome,61,900
1536,Windows,Chrome,62,864
1750,Windows,Chrome,63,900
1920,Windows,Chrome,64,1080
360,Linux,Chrome,65,640
2048,Mac,Chrome,66,1152
1680,Mac,Chrome,67,1050
1366,Linux,Chrome,68,768
1536,Windows,Chrome,69,864
1920,Windows,Chrome,70,1080
1920,Windows,Chrome,71,1080
1024,Windows,Chrome,72,768
375,iPhone/iPod,Safari,73,667
1536,Windows,Chrome,74,864
1920,Windows,Chrome,75,1080
1440,Mac,Safari,76,900
1366,Windows,Firefox,77,768
1920,Windows,Chrome,78,1200
1366,Windows,Chrome,79,768
1920,Windows,Chrome,80,1080
1366,Windows,Chrome,81,768
1920,Windows,Firefox,82,1080
1920,Windows,Chrome,83,1080
1440,Mac,Firefox,84,900
320,Linux,Chrome,85,534
2048,Windows,Chrome,86,1152
